		
CCY	GBP	
INDEX	INYUK	
DATE	40046	
ID		
		
GBP	INYUK	AIC
1Y	2.306000000000008
2Y	2.6944822323234474
3Y	2.801523406119033
4Y	3.1007144002584752
5Y	3.38389064809943
6Y	3.6741778097755917
7Y	3.9187222552701906
8Y	4.044260886808093
9Y	4.123466777205964
10Y	4.171730817319519
11Y	4.194279060254447
12Y	4.147841247920847
13Y	4.133721940122048
14Y	4.103346834771648
15Y	4.002806944224813
16Y	3.9072923943079596
17Y	3.842246286355233
18Y	3.778088852683026
19Y	3.716189358283173
20Y	3.6727723283439984
21Y	3.7795349643926794
22Y	3.7961377023187977
23Y	3.8030685387058583
24Y	3.800019305606507
25Y	3.7868716674811913
26Y	3.7589475212751435
27Y	3.7374699499709534
28Y	3.7369366246140197
29Y	3.7560206815845896
30Y	3.79408745776146
		
CCY	EUR	
INDEX	INYFR	
DATE	40046	
ID		
		
EUR	INYFR	AIC
1Y	0.8070000000000022
2Y	1.508504150373846
3Y	2.412122356769353
4Y	2.6181629326011535
5Y	2.7652669568891675
6Y	2.9163336649630445
7Y	2.943139828917962
8Y	2.6415963611703175
9Y	2.663764871959007
10Y	2.571240785494333
11Y	2.5691070123101234
12Y	2.5748579251238413
13Y	2.5499411023512275
14Y	2.5370571769796957
15Y	2.5357051059014424
16Y	2.5419756145897976
17Y	2.5465657418443532
18Y	2.5454407309505545
19Y	2.5378270473702225
20Y	2.5198253064876885
21Y	2.491313513225202
22Y	2.458178918300269
23Y	2.4251138619011847
24Y	2.3981348312177575
25Y	2.3836194077087036
26Y	2.3793367892430473
27Y	2.3660747585275255
28Y	2.337552144262034
29Y	2.2940442358103885
30Y	2.2351677232444356
		
CCY	EUR	
INDEX	INYEU	
DATE	40046	
ID		
		
EUR	INYEU	AIC
1Y	2.3209999999999953
2Y	0.6383273195579742
3Y	2.1393680603611465
4Y	2.3105225379082883
5Y	2.4492725230473855
6Y	2.6127459524711627
7Y	2.7103143145926323
8Y	2.7303965948974662
9Y	2.7393546970263305
10Y	2.4121085492868843
11Y	2.4229860672083436
12Y	2.468875757582345
13Y	2.442721751648924
14Y	2.439010779303463
15Y	2.4680072323614466
16Y	2.516218332525222
17Y	2.54363849365582
18Y	2.5407633638108384
19Y	2.509177720842226
20Y	2.4471853991955284
21Y	2.3648845483076997
22Y	2.3012513906573995
23Y	2.266751084941232
24Y	2.2647881387990676
25Y	2.2992720092929853
26Y	2.3592194069667283
27Y	2.398851783427025
28Y	2.4066497188821145
29Y	2.3843679176805077
30Y	2.333069927053355